"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 23:27:09 GMT 2023","Sun Nov 05 23:27:21 GMT 2023","12484","","My calendar application","","",""," [case 1]should be visible element add Event",""
"passed","Sun Nov 05 23:27:28 GMT 2023","Sun Nov 05 23:27:52 GMT 2023","23613","","My calendar application","","",""," [case 5]should add event",""
"passed","Sun Nov 05 23:27:22 GMT 2023","Sun Nov 05 23:27:28 GMT 2023","5704","","My calendar application","","",""," [case 3]should be visible menu",""
"passed","Sun Nov 05 23:27:21 GMT 2023","Sun Nov 05 23:27:22 GMT 2023","696","","My calendar application","","",""," [case 2]should be visible month",""
"passed","Sun Nov 05 23:27:28 GMT 2023","Sun Nov 05 23:27:28 GMT 2023","395","","My calendar application","","",""," [case 4]should be visible serch icon",""
