"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 23:26:48 GMT 2023","Sun Nov 05 23:27:11 GMT 2023","22863","","My calendar application","","",""," [case 5]should add event",""
"passed","Sun Nov 05 23:26:29 GMT 2023","Sun Nov 05 23:26:42 GMT 2023","12539","","My calendar application","","",""," [case 1]should be visible element add Event",""
"passed","Sun Nov 05 23:26:42 GMT 2023","Sun Nov 05 23:26:42 GMT 2023","441","","My calendar application","","",""," [case 2]should be visible month",""
"passed","Sun Nov 05 23:26:42 GMT 2023","Sun Nov 05 23:26:48 GMT 2023","5753","","My calendar application","","",""," [case 3]should be visible menu",""
"passed","Sun Nov 05 23:26:48 GMT 2023","Sun Nov 05 23:26:48 GMT 2023","438","","My calendar application","","",""," [case 4]should be visible serch icon",""
