"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 00:02:10 GMT 2023","Mon Nov 06 00:02:24 GMT 2023","13869","","My calendar application","","",""," [case 5]should add event",""
"passed","Mon Nov 06 00:02:04 GMT 2023","Mon Nov 06 00:02:09 GMT 2023","5522","","My calendar application","","",""," [case 3]should be visible menu",""
"passed","Mon Nov 06 00:02:09 GMT 2023","Mon Nov 06 00:02:10 GMT 2023","711","","My calendar application","","",""," [case 4]should be visible serch icon",""
"passed","Mon Nov 06 00:01:50 GMT 2023","Mon Nov 06 00:02:03 GMT 2023","12701","","My calendar application","","",""," [case 1]should be visible element add Event",""
"passed","Mon Nov 06 00:02:03 GMT 2023","Mon Nov 06 00:02:04 GMT 2023","646","","My calendar application","","",""," [case 2]should be visible month",""
