"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 05 23:47:01 GMT 2023","Sun Nov 05 23:47:24 GMT 2023","22812","","My calendar application","","",""," [case 5]should add event",""
"passed","Sun Nov 05 23:46:55 GMT 2023","Sun Nov 05 23:46:55 GMT 2023","401","","My calendar application","","",""," [case 2]should be visible month",""
"passed","Sun Nov 05 23:46:55 GMT 2023","Sun Nov 05 23:47:01 GMT 2023","5684","","My calendar application","","",""," [case 3]should be visible menu",""
"passed","Sun Nov 05 23:46:42 GMT 2023","Sun Nov 05 23:46:55 GMT 2023","12415","","My calendar application","","",""," [case 1]should be visible element add Event",""
"passed","Sun Nov 05 23:47:01 GMT 2023","Sun Nov 05 23:47:01 GMT 2023","350","","My calendar application","","",""," [case 4]should be visible serch icon",""
